,precision,recall,f1-score,support
A,0.42857142857142855,0.75,0.5454545454545454,4.0
F,0.9069767441860465,0.7647058823529411,0.8297872340425532,51.0
FT,1.0,0.5,0.6666666666666666,2.0
L,0.375,1.0,0.5454545454545454,3.0
LF,0.5555555555555556,0.625,0.5882352941176471,8.0
MN,0.25,0.3333333333333333,0.2857142857142857,3.0
O,0.875,0.5833333333333334,0.7,12.0
PE,0.6428571428571429,0.8181818181818182,0.72,11.0
SC,0.5,0.75,0.6,4.0
SE,0.625,0.7692307692307693,0.6896551724137931,13.0
US,0.6666666666666666,0.42857142857142855,0.5217391304347826,14.0
accuracy,0.696,0.696,0.696,0.696
macro avg,0.6205115943488037,0.6656687786366932,0.608427897663529,125.0
weighted avg,0.7465544481358435,0.696,0.7041884349218853,125.0
