Original_ProjectID,Original_Class,PromisePlus_ProjectID,PromisePlus_Class,RequirementText
1,PE,1,PE,The system shall refresh the display every 60 seconds.
1,F,1,F,The system shall provide a history report of changes made to the Activity or Event data
1,F,1,F,The system shall provide charts for the Activity or Event actual versus assumed time.
1,F,1,F,The system shall offer the ability to pause and resume the refresh of data.
1,F,1,F,The system shall display the local and exercise time in separate clocks
1,F,1,F,The system shall filter data by: Venues and Key Events.
1,F,1,F,The system shall offer a display of all the Events in the exercise.
1,F,1,F,The system shall allow modification of the display.
1,F,1,F,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.
1,F,1,F,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications
1,F,1,F,The system shall color code events according to their variance from current time.
1,F,1,F,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.
1,F,1,F,The top 1/4 of the table will hold events that are to occur sequentially.
1,F,1,F,The table side of the display shall be split into 2 regions: sequential and temporal.
1,F,1,F,The system shall allow a user to define the time segments
1,F,1,F,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table
1,F,1,F,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data
1,LF,1,LF,The application shall match the color of the schema set forth by Department of Homeland Security
1,US,1,US,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30
1,US,1,US,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100
1,SE,1,SE,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts
1,A,1,A,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.
1,PE,1,PE,The product shall respond fast to keep up-to-date data in the display.
1,F,1,F,The system shall have a MDI form that allows for the viewing of the graph and the data table.
1,F,1,F,The system shall display Events in a vertical table by time.
1,F,1,F,The system shall display the Events in a graph by time.
1,F,1,F,The system shall display Events or Activities.
2,SC,2,SC,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.
2,F,2,F,The system shall allow a real estate agent to query MLS information
2,US,2,US,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.
2,US,2,US,90% of untrained realtors shall be able to install the product on their device without printed instructions
2,SE,2,SE,Only registered realtors shall be able to access the system.
2,SE,2,SE,Every user of the system shall be authenticated and authorized.
2,SE,2,SE,The product shall prevent its data from incorrect data being introduced.
2,F,2,F,The user shall be able to get driving directions to a selected property
2,F,2,F,The realtor shall be able to retrieve a map showing property locations for a specified area
2,F,2,F,The system shall display clear property images in the search results
2,F,2,F,The system shall update or create new property listings in the MLS
2,F,2,F,Realtor shall be able to generate a CMA report based on property criteria
2,F,2,F,The system shall be able to call the seller or buyer to schedule an appointment
2,F,2,F,The realtor shall be notified of new client appointments after automatic synchronization with office system
2,F,2,F,The system shall notify the realtor when a seller or buyer responds to an appointment request
2,F,2,F,The product shall allow the user to save the property search results.
2,SC,2,SC,The product shall be able support 1000 simultaneous users.
2,F,2,F,The user shall be able to download appointments and contact information for clients
2,SC,2,SC,The product shall be able to support multiple remote users
2,PO,2,PO,The product is expected to run on Windows CE and Palm operating systems.
2,FT,2,FT,The product shall retain user preferences in the event of a failure.
2,FT,2,FT,100% of saved user preferences shall be restored when system comes back online.
2,LF,2,LF,The look and feel of the system shall conform to the user interface standards of the smart device.
2,LF,2,LF,The system shall have a professional appearance
2,LF,2,LF,The product shall have a consistent color scheme and fonts.
2,US,2,US,The system shall be used by realtors with no training.
2,US,2,US,The system shall be intuitive and self explanatory.
2,US,2,US,The product shall be easy for a realtor to learn.
2,US,2,US,The product shall use symbols and words that are naturally understandable by the realtor community.
2,PE,2,PE,The product shall produce search results in an acceptable time
2,LF,2,LF,The user interface shall have standard menus buttons for navigation
2,PE,2,PE,The product shall generate a CMA report in an acceptable time.
2,PE,2,PE,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.
2,PE,2,PE,The product shall synchronize contacts and appointments in an acceptable time.
2,PE,2,PE,The product shall synchronize with the office system every hour.
2,A,2,A,The product shall be available for use 24 hours per day 365 days  per year
2,A,2,A,Out of 1000 accesses to the system the system is available 999 times.
2,FT,2,FT,The product shall operate in offline mode whenever internet connection is unavailable.
2,PE,2,PE,The search results shall be returned no later 30 seconds  after the user has entered the search criteria
2,FT,2,FT,The product shall allow the user to view previously downloaded search results CMA reports  and appointments.
3,F,3,F,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.
3,F,3,F,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.
3,F,3,F,A clinical lab section shall include the clinical site name  the class  instructor  day and time of the lab.
3,F,3,F,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.
3,F,3,F,Clinical site information shall include (but not be limited to) the name of the site  contact person  and contact information.
3,F,3,F,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.
3,F,3,F,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.
3,F,3,F,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.
3,F,3,F,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study
3,F,3,F,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.
3,F,3,F,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.
3,F,3,F,A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.
3,F,3,F,A class shall be either a non-clinical class or a clinical class.
3,F,3,F,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.
