,precision,recall,f1-score,support
A,0.4230769230769231,0.8461538461538461,0.5641025641025641,13.0
F,0.9230769230769231,0.6301369863013698,0.7489823609226595,438.0
FT,0.22727272727272727,0.7142857142857143,0.3448275862068966,7.0
L,0.4838709677419355,0.7142857142857143,0.5769230769230769,42.0
LF,0.5,0.5,0.5,18.0
MN,0.38095238095238093,0.5333333333333333,0.4444444444444444,15.0
O,0.5208333333333334,0.78125,0.625,32.0
PE,0.5116279069767442,0.6666666666666666,0.5789473684210527,33.0
SC,0.35294117647058826,0.631578947368421,0.4528301886792453,19.0
SE,0.3698630136986301,0.5869565217391305,0.453781512605042,46.0
US,0.38333333333333336,0.5348837209302325,0.44660194174757284,43.0
accuracy,0.6345609065155807,0.6345609065155807,0.6345609065155807,0.6345609065155807
macro avg,0.46153169872122907,0.6490483137331299,0.521494640368414,706.0
weighted avg,0.7368112884863445,0.6345609065155807,0.6593281958018702,706.0
