,precision,recall,f1-score,support
A,0.6176470588235294,1.0,0.7636363636363637,21.0
F,0.9344262295081968,0.6705882352941176,0.7808219178082192,255.0
FT,0.5294117647058824,0.9,0.6666666666666666,10.0
L,0.40625,1.0,0.5777777777777777,13.0
LF,0.7142857142857143,0.9210526315789473,0.8045977011494253,38.0
MN,0.64,0.9411764705882353,0.7619047619047619,17.0
O,0.8103448275862069,0.7580645161290323,0.7833333333333333,62.0
PE,0.8235294117647058,0.7777777777777778,0.8,54.0
SC,0.5714285714285714,0.9523809523809523,0.7142857142857143,21.0
SE,0.72,0.8181818181818182,0.7659574468085106,66.0
US,0.7692307692307693,0.746268656716418,0.7575757575757576,67.0
accuracy,0.7660256410256411,0.7660256410256411,0.7660256410256411,0.7660256410256411
macro avg,0.6851413043030523,0.8623173689679363,0.7433234037224118,624.0
weighted avg,0.8102851452466358,0.7660256410256411,0.770718362123238,624.0
